Item Category,Item Name,Item Quality,StatTrak?,Souvenir?,Item Exterior,Lowest Listing Price ($),Steam Market Link
Nomad Knife,Forest DDPAT,Covert Knife,False,False,Factory New,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Forest%20DDPAT%20%28Factory%20New%29
Nomad Knife,Forest DDPAT,Covert Knife,False,False,Minimal Wear,$146.82,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Forest%20DDPAT%20%28Minimal%20Wear%29
Nomad Knife,Forest DDPAT,Covert Knife,False,False,Field-Tested,$128.22,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Forest%20DDPAT%20%28Field-Tested%29
Nomad Knife,Forest DDPAT,Covert Knife,False,False,Well-Worn,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Forest%20DDPAT%20%28Well-Worn%29
Nomad Knife,Forest DDPAT,Covert Knife,False,False,Battle-Scarred,$118.48,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Forest%20DDPAT%20%28Battle-Scarred%29
Nomad Knife,Boreal Forest,Covert Knife,True,False,Factory New,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Boreal%20Forest%20%28Factory%20New%29
Nomad Knife,Boreal Forest,Covert Knife,True,False,Minimal Wear,$187.69,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Boreal%20Forest%20%28Minimal%20Wear%29
Nomad Knife,Boreal Forest,Covert Knife,True,False,Field-Tested,$161.71,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Boreal%20Forest%20%28Field-Tested%29
Nomad Knife,Boreal Forest,Covert Knife,True,False,Well-Worn,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Boreal%20Forest%20%28Well-Worn%29
Nomad Knife,Boreal Forest,Covert Knife,True,False,Battle-Scarred,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Boreal%20Forest%20%28Battle-Scarred%29
Nomad Knife,Boreal Forest,Covert Knife,False,False,Factory New,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Boreal%20Forest%20%28Factory%20New%29
Nomad Knife,Boreal Forest,Covert Knife,False,False,Minimal Wear,$172.50,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Boreal%20Forest%20%28Minimal%20Wear%29
Nomad Knife,Boreal Forest,Covert Knife,False,False,Field-Tested,$143.03,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Boreal%20Forest%20%28Field-Tested%29
Nomad Knife,Boreal Forest,Covert Knife,False,False,Well-Worn,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Boreal%20Forest%20%28Well-Worn%29
Nomad Knife,Boreal Forest,Covert Knife,False,False,Battle-Scarred,$119.67,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Boreal%20Forest%20%28Battle-Scarred%29
Nomad Knife,Night Stripe,Covert Knife,True,False,Factory New,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Night%20Stripe%20%28Factory%20New%29
