Item Type,Item Id,Item Name
skin,955,Stiletto-Knife-Night-Stripe
skin,949,Stiletto-Knife-Blue-Steel
skin,956,Stiletto-Knife-Safari-Mesh
skin,959,Stiletto-Knife-Stained
skin,957,Stiletto-Knife-Scorched
skin,954,Stiletto-Knife-Forest-DDPAT
skin,960,Stiletto-Knife-Urban-Masked
skin,950,Stiletto-Knife-Boreal-Forest
skin,987,Talon-Knife-Vanilla
skin,1087,Talon-Knife-Marble-Fade
skin,1086,Talon-Knife-Doppler
skin,1089,Talon-Knife-Tiger-Tooth
skin,1085,Talon-Knife-Damascus-Steel
skin,1088,Talon-Knife-Rust-Coat
skin,1090,Talon-Knife-Ultraviolet
skin,992,Talon-Knife-Fade
skin,997,Talon-Knife-Slaughter
skin,990,Talon-Knife-Case-Hardened
skin,991,Talon-Knife-Crimson-Web
skin,988,Talon-Knife-Blue-Steel
skin,998,Talon-Knife-Stained
skin,994,Talon-Knife-Night-Stripe
skin,999,Talon-Knife-Urban-Masked
skin,996,Talon-Knife-Scorched
skin,993,Talon-Knife-Forest-DDPAT
skin,989,Talon-Knife-Boreal-Forest
skin,995,Talon-Knife-Safari-Mesh
skin,961,Ursus-Knife-Vanilla
skin,1093,Ursus-Knife-Marble-Fade
skin,1095,Ursus-Knife-Tiger-Tooth
skin,1096,Ursus-Knife-Ultraviolet
skin,1092,Ursus-Knife-Doppler
skin,1091,Ursus-Knife-Damascus-Steel
skin,1094,Ursus-Knife-Rust-Coat
skin,966,Ursus-Knife-Fade
skin,971,Ursus-Knife-Slaughter
skin,965,Ursus-Knife-Crimson-Web
skin,964,Ursus-Knife-Case-Hardened
skin,968,Ursus-Knife-Night-Stripe
skin,962,Ursus-Knife-Blue-Steel
skin,972,Ursus-Knife-Stained
skin,973,Ursus-Knife-Urban-Masked
skin,970,Ursus-Knife-Scorched
skin,969,Ursus-Knife-Safari-Mesh
skin,967,Ursus-Knife-Forest-DDPAT
skin,963,Ursus-Knife-Boreal-Forest
